,Latitude,Longitude,Rubbish,Plastics,Cans,Glass,Papers
5583,37.589323,127.010506,1,0,0,0,0
5584,37.590444,127.011716,1,0,0,0,0
5585,37.590445,127.011719,1,0,0,0,0
5586,37.590443,127.011714,1,0,0,0,0
5587,37.591239,127.013529,1,0,0,0,0
5588,37.589998,127.011271,1,0,0,0,0
5589,37.589996,127.011273,1,0,0,0,0
5590,37.589994,127.011275,1,0,0,0,0
5591,37.589996,127.011274,1,0,0,0,0
5592,37.588677,127.009561,1,0,0,0,0
5593,37.588676,127.00956,1,0,0,0,0
5594,37.588679,127.009563,1,0,0,0,0
5595,37.588675,127.009564,1,0,0,0,0
5597,37.589996,127.01127,1,0,0,0,0
5598,37.589995,127.011274,1,0,0,0,0
5599,37.589997,127.011273,1,0,0,0,0
5600,37.59062,127.016214,1,0,0,0,0
5601,37.590621,127.016215,1,0,0,0,0
5602,37.590619,127.016214,1,0,0,0,0
5603,37.58932,127.010503,1,0,0,0,0
5604,37.589324,127.010502,1,0,0,0,0
5605,37.589327,127.010505,1,0,0,0,0
5606,37.587992,127.008536,1,0,0,0,0
5607,37.587991,127.008537,1,0,0,0,0
5608,37.58799,127.008539,1,0,0,0,0
5609,37.39,126.46,1,0,0,0,0
5613,37.39,126.46,0,0,0,1,1
5617,37.43,126.42,1,0,0,0,0
5623,37.43,126.42,1,0,0,0,1
5631,37.43,126.42,0,1,0,0,0
5638,37.35,127.1,1,0,0,0,1
5642,37.35,127.1,0,0,0,0,1
5645,37.44,126.43,0,1,0,0,0
5649,37.44,126.43,0,2,0,0,0
5652,37.44,126.43,1,0,0,0,0
5658,37.44,126.43,0,1,0,0,1
5675,37.44,126.43,0,0,1,0,0
5677,37.44,126.43,0,1,1,0,0
5683,37.43,126.43,0,1,0,0,0
5691,37.43,126.43,1,0,0,0,0
5699,37.43,126.43,0,0,1,0,0
5705,37.43,126.43,0,0,0,1,0
5714,37.49,126.58,1,1,0,0,0
5715,37.49,126.57,0,1,1,0,0
5717,37.49,126.57,1,1,1,0,0
5733,37.58,127.01,0,1,0,1,0
5753,37.58,127.01,1,1,1,1,1
5759,37.49,127.07,0,1,0,0,0
5761,37.49,127.07,1,1,0,0,0
5777,37.49,127.07,0,1,0,0,1
5780,37.49,127.07,1,0,0,1,0
5793,37.49,127.07,0,0,0,1,0
5794,37.49,127.07,0,0,1,0,0
5805,37.33,127.01,1,1,0,0,1
5806,37.33,127.01,0,1,0,0,0
5810,38.25,127.18,0,1,0,0,0
5811,38.25,127.18,0,0,0,0,1
5812,38.25,127.18,1,0,0,0,0
5813,38.25,127.18,0,0,1,0,0
5814,37.62,127.09,0,0,1,0,0
5819,37.62,127.08,0,0,1,0,0
5831,37.62,127.09,0,0,0,1,0
5835,37.62,127.08,0,0,0,1,0
5839,37.62,127.09,0,0,0,0,1
5843,37.62,127.08,0,0,0,0,1
5857,37.62,127.09,0,1,0,0,0
5866,37.62,127.08,0,1,0,0,0
5876,37.62,127.08,1,0,0,0,0
5881,37.62,127.09,1,0,0,0,0
5973,37.62,127.1,1,0,0,0,0
5994,37.3949,126.9389,1,0,0,0,0
5995,37.3951,126.939,1,0,0,0,0
5996,37.3951,126.9391,1,0,0,0,0
5997,37.3958,126.9357,0,1,0,0,0
5998,37.3959,126.9345,0,1,0,0,0
5999,37.396,126.9344,0,1,0,0,0
6001,37.3959,126.9344,0,1,0,0,0
6003,37.3956,126.9348,1,0,0,0,0
6004,37.3958,126.9346,1,0,0,0,0
6005,37.396,126.9343,1,0,0,0,0
6006,37.3957,126.9345,1,0,0,0,0
6007,37.396,126.9345,1,0,0,0,0
6009,37.396,126.9347,1,0,0,0,0
6013,37.3961,126.9347,1,0,0,0,0
6014,37.3962,126.9347,1,0,0,0,0
6015,37.3959,126.9345,1,0,0,0,0
6016,37.3963,126.9346,1,0,0,0,0
6019,37.39667219,126.9331583,0,0,1,0,0
6020,37.3966,126.9332,0,0,1,0,0
6023,37.3966,126.9332,1,0,0,0,0
6024,37.3966,126.9331,1,0,0,0,0
6026,37.3967,126.9332,0,0,0,0,1
6027,37.3966,126.9332,0,0,0,0,1
6028,37.397,126.9322,1,0,0,0,0
6029,37.397,126.932,1,0,0,0,0
6030,37.3969,126.932,1,0,0,0,0
6034,37.3972,126.9326,1,0,0,0,0
6035,37.3972,126.9316,1,0,0,0,0
6036,37.4012,126.928,1,0,0,0,0
6037,37.4007,126.9278,1,0,0,0,0
6038,37.4006,126.9277722,1,0,0,0,0
6039,37.4007,126.928,1,0,0,0,0
6041,37.4055,126.9257,0,0,0,0,1
6042,37.4025,126.9258,0,0,0,0,1
6044,37.4045,126.9231,1,0,0,0,0
6045,37.409,126.9178,1,0,0,0,0
6046,37.4091,126.9178,1,0,0,0,0
6047,35.8526,129.2685,0,1,0,0,0
6049,35.8524,129.2704,0,1,0,0,0
6051,35.85234719,129.2702942,0,1,0,0,0
6052,37.5882,127.0192805,1,0,0,0,0
6053,37.5882,127.0194,1,0,0,0,0
6054,37.5883,127.0194,1,0,0,0,0
6055,37.5893,127.0181,1,0,0,0,0
6056,37.5892,127.0181,1,0,0,0,0
6057,37.58922222,127.0180361,1,0,0,0,0
6058,37.5893,127.0183,1,0,0,0,0
6059,37.5894,127.0179,1,0,0,0,0
6060,37.58941639,127.0178667,1,0,0,0,0
6061,37.59007775,127.0180553,1,0,0,0,0
6062,37.59000833,127.0171278,1,0,0,0,0
6063,37.59,127.0171278,1,0,0,0,0
6064,37.58998611,127.0171361,1,0,0,0,0
